ano,servico,consorcio,km_apurada,receita_total_esperada,receita_tarifaria_esperada,subsidio_esperado,subsidio_glosado,receita_total_aferida,receita_tarifaria_aferida,subsidio_pago,saldo,versao,datetime_ultima_atualizacao,id_execucao_dbt
2025,950,Internorte,95133.604000000,,456147.463360000,,,,658423.560000000,,202276.096640000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SPB483,Internorte,13436.416000000,,64423.415840000,,,,151294.750000000,,86871.334160000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SN265,Internorte,26274.009000000,,125955.771310000,,,,75446.760000000,,-50509.011310000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SVB685,Internorte,61121.000000000,,293071.530600000,,,,83054.290000000,,-210017.240600000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,669,Internorte,151961.264000000,,728657.649760000,,,,940953.440000000,,212295.790240000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SR362,Internorte,68559.023000000,,328710.762270000,,,,184845.990000000,,-143864.772270000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,232,Internorte,552830.619000000,,2650593.764810000,,,,4585550.100000000,,1934956.335190000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,616,Internorte,32972.938000000,,157940.373020000,,,,250328.440000000,,92388.066980000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,265,Internorte,148556.152000000,,712270.839880000,,,,1484232.160000000,,771961.320120000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,721,Internorte,251348.934000000,,1205162.947860000,,,,1664962.910000000,,459799.962140000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,919,Internorte,147334.640000000,,706447.584000000,,,,638788.800000000,,-67658.784000000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,498,Internorte,23648.645000000,,113326.475450000,,,,283427.880000000,,170101.404550000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,497,Internorte,308943.866000000,,1481284.208140000,,,,2019946.500000000,,538662.291860000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SVA665,Internorte,116754.890000000,,560010.470100000,,,,323124.550000000,,-236885.920100000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,793,Internorte,202410.424000000,,970478.330160000,,,,937691.700000000,,-32786.630160000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,456,Internorte,89048.326000000,,426867.805740000,,,,344952.970000000,,-81914.835740000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SPB326,Internorte,52866.261000000,,253429.298290000,,,,228759.480000000,,-24669.818290000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,679,Internorte,100552.278000000,,482111.134420000,,,,593225.690000000,,111114.555580000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,711,Internorte,262787.986000000,,1259955.976140000,,,,1479458.990000000,,219503.013860000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SN685,Internorte,18031.096000000,,86507.580040000,,,,31990.750000000,,-54516.830040000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,663,Internorte,870.811000000,,4171.184690000,,,,4611.520000000,,440.335310000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,687,Internorte,102225.100000000,,490158.842400000,,,,561637.010000000,,71478.167600000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,LECD105,Internorte,229690.401000000,,1102792.401090000,,,,1679964.950000000,,577172.548910000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,951,Internorte,48271.464000000,,231429.388560000,,,,308341.110000000,,76911.721440000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
